ss,id,IPAddress,StartDate,EndDate,MID,study,confirmation_code,Age,Gender,Edu,SES,1.111,threaten,attitudes,value,like,connected,Al-IW1-1,Al-IW1-2,1.112,Al-IW2-1,Al-IW2-2,threat,attitude,value,like,connected,1.121,threaten,attitude,value,like,connected,Alha-II1-1,Alha-II1-2,1.122,Alha-II2-1,Alha-II2-2,threat,attitude,value,like,connected,2.211,threat,attitude,value,like,connected,Dan-DW1-1,Dan-DW1-2,2.212,Dan-DW2-1,Dan-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,2.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,DANY-DI1-1,DANY-DI1-2,2.222,DANY-DI2-1,DANY-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,3.211,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,HAR-DW1-1,HAR-DW1-2,3.212,HAR-DW2-1,HAR-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,3.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,HAR-DI1-1,HAR-DI1-2,3.222,HAR-DI2-1,HAR-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,4.111,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,JEF-IW1-1,JEF-IW1-2,4.112,JEF-IW2-1,JEF-IW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,4.121,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,JAF-II1-1,JF-II1-2,4.122,JAF-II2-1,JAF-II2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,5.111,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,CHAD-IW1-1,CHAD-IW1-2,5.112,CHAD-IW2-1,CHAD-IW2-2,THREAT,ATTITUDE,VALUE,LIKE ,CONNECTED,5.121,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,CHAH-II1-1,CHAH-II1-2,5.122,CHAH-II2-1,CHAH-II2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,6.211,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,ADAM-DW1-1,ADAM-DW1-2,6.212,ADAM-DW2-1,ADAM-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,6.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,ADNA-DI1-1,ADNA-DI1-2,6.222,ADNA-DI2-1,ADNA-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,1.211,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,AL-DW1-1,AL-DW1-2,1.212,AL-DW2-1,AL-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,1.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,Alha-D-I-1,Alha-D-I-2,1.222,ALHA-DI2-1,ALHA-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,2.111,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,DAN-IW1-1,DAN-IW1-2,2.112,DAN-IW2-1,DAN-IW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,2.121,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,DANY-II1-1,DANY-II1-2,2.122,DANY-II2-1,DANY-II2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,3.111,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,HAR-IW1-1,HAR-IW1-2,3.112,HAR-IW2-1,HAR-IW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,3.121,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,HAR-II1-1,HAR-II1-2,3.122,HAR-II2-1,HAR-II2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,4.211,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,JEFF-DW1-1,JEF-DW1-2,4.212,JEFF-DW2-1,JEFF-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,4.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,JAFR-DI1-1,JAFR-DI1-2,4.222,JAFR-DI2-1,JAFR-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,5.211,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,CHAD-DW1-1,CHAD-DW1-2,5.212,CHAD-DW2-1,CHAD-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,5.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,CHAH-DI1-1,CHAH-DI1-2,5.222,CHAH-DI2-1,CHAH-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,6.111,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,ADAM-IW1-1,ADAM-IW1-2,6.112,ADAM-IW2-1,ADAM-IW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,6.121,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,ADNA-II1-1,ADNA-II1-2,6.122,ADNA-II2-1,ADNA-II2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,check1,check2,check_excl,comp1_eth,comp1_eth_recode,comp2_cond,exclude,eth_ss,vignette.condition.eth.order,VIGNETTE,VIGNETTE_NAME,COND,COND_NAME,ETH_COND,ETH_COND_NAME,ORDER,THREAT,ATTITUDE,value,like,connected,IDENTIFICATION,ts_forced,TS_FORCED_RECODE,TS_SCALE
564,R_3JLvnpwux2rbFbx,184.170.122.68,1/21/16 18:04,1/21/16 18:08,A3FL0OFMUCA3BM,Julian_2,89192204,51,2,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,1,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,6,3.222,3,biz,2,deterioration,2,immigrant,2,1,5,5,5,5,5,2,0,4
565,R_SB1V5eGLK73XSsV,172.56.27.6,1/21/16 18:10,1/21/16 18:12,A3J65LGR7M1OL3,Julian_2,39830889,25,1,5,6,,,,,,,,,1,1,1,1,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,6,1,1,1,2,1.112,1,dad,1,improvement,1,white,2,1,5,4,4,3,3.666666667,1,1,1
566,R_301wGAjMlIdRUpP,71.80.119.28,1/21/16 18:09,1/21/16 18:13,A1SISILL2H1LOX,Julian_2,72642503,33,1,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,7,7,5,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,6,2.121,2,terr,1,improvement,2,immigrant,1,2,4,7,7,5,6.333333333,1,1,9
567,R_Zsf3uCCiOKyM6wp,108.192.115.0,1/21/16 18:10,1/21/16 18:17,A199PDNUGFTXMB,Julian_2,74883183,19,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,3,4,3,3,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,I have read the instructions,0,5,2,1,0,2,4.121,4,alcohol,1,improvement,2,immigrant,1,7,3,4,3,3,3.333333333,1,1,8
568,R_2Vx5wbzqLlPhhNf,98.109.137.163,1/21/16 18:17,1/21/16 18:20,ASI7XAK04PWL0,Julian_2,36618451,27,1,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,3,5,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,6,2.222,2,terr,2,deterioration,2,immigrant,2,3,5,5,5,3,4.333333333,1,1,7
569,R_1OvIJuJ5QoQGwTq,108.215.62.205,1/21/16 18:18,1/21/16 18:21,A37KXQSC31UBD7,Julian_2,76498099,26,2,6,5,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,1,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instuctions,0,5,2,1,0,6,1.122,1,dad,1,improvement,2,immigrant,2,1,9,9,9,9,9,1,1,7
570,R_bCNJUIYPYRykjzH,198.8.80.146,1/21/16 18:09,1/21/16 18:21,AN5PZK9NV65UI,Julian_2,39796481,20,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,7,6,6,4,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,1,0,6,6.112,6,police,1,improvement,1,white,2,1,7,6,6,4,5.333333333,2,0,3
571,R_11d50c3M4gSKVhE,23.27.250.203,1/21/16 18:18,1/21/16 18:22,A3QHOBV7KJ98YH,Julian_2,73655940,58,2,8,4,,,,,,,,,1,1,9,4,5,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,1,0,6,1.112,1,dad,1,improvement,1,white,2,4,5,5,5,6,5.333333333,1,1,9
572,R_1NDQm9L53i3ChHW,173.22.41.194,1/21/16 18:19,1/21/16 18:24,A2Y6M7YI7IT95Z,Julian_2,93321142,32,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,5,5,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,I have read the instructions,0,6,1,2,0,6,5.212,5,minorities,2,deterioration,1,white,2,5,5,3,3,4,3.333333333,1,1,6
573,R_2VmDI30RiPsokio,207.224.10.159,1/21/16 18:16,1/21/16 18:24,A2A22U4DFWKE7N,Julian_2,10466911,46,1,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,3,5,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,6,5.221,5,minorities,2,deterioration,2,immigrant,1,4,5,3,5,2,3.333333333,2,0,1
574,R_2sSYeNt6pE1Njol,108.237.232.194,1/21/16 18:20,1/21/16 18:24,AYGIVEDY2LYYI,Julian_2,54952283,44,2,5,7,1,1,5,5,5,5,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,1,0,6,1.111,1,dad,1,improvement,1,white,1,1,5,5,5,5,5,1,1,9
575,R_sT1oIX9D9jJ63SN,104.254.110.4,1/21/16 18:20,1/21/16 18:25,A192EJRA8LJYMV,Julian_2,28898624,24,2,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,6,5,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions ,0,6,1,2,0,6,3.211,3,biz,2,deterioration,1,white,1,2,5,6,5,3,4.666666667,2,0,3
576,R_3mZPS1tBblWGrQd,76.187.97.13,1/21/16 18:24,1/21/16 18:26,A1WKC33YFTKWJC,Julian_2,67397864,25,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,0,6,3.212,3,biz,2,deterioration,1,white,2,1,1,2,2,2,2,1,1,4
577,R_26gyed2U0FTgb2K,184.156.107.147,1/21/16 18:17,1/21/16 18:26,A1FKQY4MCJL15W,Julian_2,77088752,58,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,6,1,1,1,1,4.112,4,alcohol,1,improvement,1,white,2,1,5,1,1,1,1,3,0,1
578,R_1K2NqXCxmax5sbC,75.17.245.35,1/21/16 18:25,1/21/16 18:28,A3KVKBMYLD9LMY,Julian_2,19680172,37,2,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,6,6,5,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,6,2.121,2,terr,1,improvement,2,immigrant,1,5,5,6,6,5,5.666666667,1,1,7
579,R_1iqYeB9MwjJgEpW,137.48.255.11,1/21/16 18:27,1/21/16 18:29,A6EWUGQA4KFMQ,Julian_2,39691246,46,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,0,6,6.212,6,police,2,deterioration,1,white,2,5,5,5,5,5,5,1,1,7
580,R_3MyVMYIjghcMtt0,24.22.3.201,1/21/16 18:24,1/21/16 18:33,A1IO8DN5HTAFIM,Julian_2,43350672,59,2,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,6,6,6,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,5,2,1,1,6,5.121,5,minorities,1,improvement,2,immigrant,1,1,5,6,6,6,6,3,0,5
581,R_1EcaqYKIc5t3W7C,67.236.153.130,1/21/16 18:31,1/21/16 18:33,A2LJRJUH5XEPT9,Julian_2,26936406,38,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,8,2,7,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,6,6.222,6,police,2,deterioration,2,immigrant,2,2,7,8,8,2,6,1,1,8
582,R_svTFT0K31nIKl7r,96.245.30.163,1/21/16 18:31,1/21/16 18:33,A2VNR6984SDFGQ,Julian_2,51189620,41,2,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9,9,9,5,1,8,,,,,,,,,,I have read the instructions,0,6,1,1,1,6,6.121,6,police,1,improvement,2,immigrant,1,1,9,9,9,5,7.666666667,1,1,8
583,R_ZduVmlFCzIvbiG5,173.26.189.166,1/21/16 18:33,1/21/16 18:35,A1LMSM9YEU51SN,Julian_2,13490361,28,2,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,6,5,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,5,2,2,1,6,1.221,1,dad,2,deterioration,2,immigrant,1,2,5,6,5,4,5,2,0,3
584,R_1prkOh8MfAvGxy6,75.133.123.126,1/21/16 18:32,1/21/16 18:36,A3QWNGAX965MPX,Julian_2,41233045,48,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,7,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,0,6,1.212,1,dad,2,deterioration,1,white,2,2,7,6,6,5,5.666666667,2,0,2
