ss,id,startDate,endDate,MID,study,confirmation_code,Ethn,Ethn_TEXT,Age,Gender,Edu,SES,1.11,threaten,attitudes,value,like,connected,Al-I-W-1,Al-I-W-1_TEXT,Al-I-W-2,1.12,threaten,attitude,value,like,connected,Alha-I-A-1,Alha-I-A-1_TEXT,Alha-I-A-2,1.13,threaten,attitude,value,like,connected,Alha-I-A-1,Alha-I-A-1_TEXT,Alha-I-A-2,2.21,threat,attitude,value,like,connected,Dani-D-W-1,Dani-D-W-1_TEXT,Dani-D-W-2,2.22,threat,feel,value,like,connected,Dany-D-A-1,Dany-D-A-1_TEXT,Dany-D-A-2,2.23,threaten,attitude,value,like,connected,Dany-D-A-1,Dany-D-A-1_TEXT,Dany-D-A-2,3.21,threaten,attitude,value,like,connected,Harr-D-W-1,Harr-D-W-1_TEXT,Harr-D-W-2,3.22,threat,attitude,value,like,connected,Har-D-A-1,Har-D-A-1_TEXT,Har-D-A-2,3.23,threaten,attitude,value,like,connected,Har-D-A-1,Har-D-A-1_TEXT,Har-D-A-2,4.11,threat,attitude,value,like,connected,Jeff-I-W-1,Jeff-I-W-1_TEXT,Jeff_I-W-2,4.12,threat,attitude,value,like,connected,Jaf-I-A-1,Jaf-I-A-1_TEXT,Jaf-I-A-2,4.13,threaten,attitude,value,like,connected,Jaf-I-A-1,Jaf-I-A-1_TEXT,Jaf-I-A-2,5.11,threat,attitude,value,like,connected,Chad-I-W-1,Chad-I-W-1_TEXT,Chad-I-W-2,5.12,threat,attitude,value,like,connected,Chah-I-A-1,Chah-I-A-1_TEXT,Chah-I-A-2,5.13,threaten,attitude,value,like,connected,Chah-I-A-1,Chah-I-A-1_TEXT,Chah-I-A-2,6.21,threat,attitude,value,like,connected,Adam-D-W-1,Adam-D-W-1_TEXT,Adam-D-W-2,6.22,threat,attitude,value,like,connected,Adna-D-A-1,Adna-D-A-1_TEXT,Adna-D-A-2,6.23,threat,attitude,value,like,connected,Adna-D-A-1,Adna-D-A-1_TEXT,Adna-D-A-2,1.21,threat,attitude,value,like,connected,Al-D-W-1,Al-D-W-1_TEXT,Al-D-W-2,1.22,threat,attitude,value,like,connected,Alha-D-A-1,Alha-D-A-1_TEXT,Alha-D-A-2,1.23,threat,attitude,value,like,connected,Alha-D-A-1,Alha-D-A-1_TEXT,Alha-D-A-2,2.11,threat,attitude,value,like,connected,Dani-I-W-1,Dani-I-W-1_TEXT,Dani-I-W-2,2.12,threat,attitude,value,like,connected,Dany-I-A-1,Dany-I-A-1_TEXT,Dany-I-A-2,2.13,threat,attitude,value,like,connected,Dany-I-A-1,Dany-I-A-1_TEXT,Dany-I-A-2,3.11,threat,attitude,value,like,connected,Harr-I-W-1,Harr-I-W-1_TEXT,Harr-I-W-2,3.12,threat,attitude,value,like,connected,Har-I-A-1,Har-I-A-1_TEXT,Har-I-A-2,3.13,threat,attitude,value,like,connected,Har-I-A-1,Har-I-A-1_TEXT,Har-I-A-2,4.21,threat,attitude,value,like,connected,Jeff-D-W-1,Jeff-D-W-1_TEXT,Jeff-D-W-2,4.22,threat,attitude,value,like,connected,Jafr-D-A-1,Jafr-D-A-1_TEXT,Jafr-D-A-2,4.23,threat,attitude,value,like,connected,Jafr-D-A-1,Jafr-D-A-1_TEXT,Jafr-D-A-2,5.21,threat,attitude,value,like,connected,Chad-D-W-1,Chad-D-W-1_TEXT,Chad-D-W-2,5.22,threat,attitude,value,like,connected,Chah-D-A-1,Chah-D-A-1_TEXT,Chah-D-A-2,5.23,threat,attitude,value,like,connected,Chah-D-A-1,Chah-D-A-1_TEXT,Chah-D-A-2,6.11,threat,attitude,value,like,connected,Adam-I-W-1,Adam-I-W-1_TEXT,Adam-I-W-2,6.12,threat,attitude,value,like,connected,Adna-I-A-1,Adna-I-A-1_TEXT,Adna-I-A-2,6.13,threat,attitude,value,like,connected,Adna-I-A-1,Adna-I-A-1_TEXT,Adna-I-A-2,check1,check2,check_excl,comp1_eth,comp1_eth_recode,comp2_cond,exclude2,exclude,vignette.condition.eth,vignette,vignette_name,condition,cond_name,eth_cond,eth_cond_name,threat,attitude,value,like ,connected,identification,ts_forced,ts_forced_recode,ts_scaled,ethn_ss,Ethn_TEXT,ATT_CENT,IDENT_CENT,COND_DUMMY,ETH_IMMIG,ETH_SYRIAN
441,R_0d41esJlU8yFP4R,1/8/16 10:13,1/8/16 10:16,A3KOT3B7E14QGF,Julian_1,41117569,6,,44,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,1,1,1,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,0,2.13,2,terr,1,improvement,3,syrian,7,1,1,1,1,1,1,1,5,6,,-4.357843137,-4.153267974,0,0,1
442,R_2wSo4hC7w0tSvL7,1/8/16 10:14,1/8/16 10:18,A37QFZ8I1TGH2C,Julian_1,50353383,6,,62,2,3,7,,,,,,,,,,,,,,,,,,,1,2,8,9,8,9,1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,0,1.13,1,dad,1,improvement,3,syrian,2,8,9,8,9,8.666666667,1,1,8,6,,2.642156863,3.513398693,0,0,1
443,R_3rHQ0GUjcRNjV6n,1/8/16 10:13,1/8/16 10:18,A1F2LDKKD6RABK,Julian_1,43162142,6,,44,2,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,2,1,4,1,2,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I HAVE READ THE INSTRUCTIONS,0,5,2,2,0,0,3.23,3,biz,2,deterioration,3,syrian,9,2,1,4,1,2,2,0,9,6,,-3.357843137,-3.153267974,1,0,1
444,R_3PEHDs8w56k1JBi,1/8/16 10:16,1/8/16 10:18,A1E5TBVOVT1XZQ,Julian_1,34364809,6,,38,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,7,7,3,2,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,0,5.12,5,minorities,1,improvement,2,immigrant,1,5,7,7,3,5.666666667,2,0,9,6,,-0.357843137,0.513398693,0,1,0
445,R_2CZXsIeQLQDPvc9,1/8/16 10:15,1/8/16 10:19,AF5OX8V2MJZCY,Julian_1,49510862,6,,48,2,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,1,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,0,2.12,2,terr,1,improvement,2,immigrant,1,5,5,5,1,3.666666667,2,0,4,6,,-0.357843137,-1.486601307,0,1,0
446,R_1OJ1KJaJGgxkaBN,1/8/16 10:11,1/8/16 10:19,A1O8520U80Z09N,Julian_1,55407387,3,,44,1,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,6,6,5,4,1,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,0,0,5.21,5,minorities,2,deterioration,1,white,2,6,6,5,4,5,1,1,9,3,,0.642156863,-0.153267974,1,0,0
447,R_1rNZRTizxRPGuTu,1/8/16 10:15,1/8/16 10:19,AYCLMGBGZN95I,Julian_1,65236302,6,,48,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,6,6,5,3,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,0,1.22,1,dad,2,deterioration,2,immigrant,2,5,6,6,5,5.666666667,3,0,6,6,,-0.357843137,0.513398693,1,1,0
448,R_1GPPNN3z2Kn8ppe,1/8/16 10:15,1/8/16 10:19,A14K8WS2S5F8KO,Julian_1,75653251,4,,38,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,7,7,7,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,NO,1,4,0,3,1,1,4.21,4,alcohol,2,deterioration,1,white,1,5,7,7,7,7,1,1,7,4,,-0.357843137,1.846732026,1,0,0
449,R_2UYqv6LWZiUPkia,1/8/16 10:17,1/8/16 10:19,AF4L0YCESSC2E,Julian_1,97702214,1,,29,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,7,6,8,6,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,I have read the instructions,0,5,2,3,0,1,2.23,2,terr,2,deterioration,3,syrian,2,7,6,8,6,6.666666667,2,0,6,1,,1.642156863,1.513398693,1,0,1
450,R_da7MddFf798NLXP,1/8/16 10:15,1/8/16 10:20,A1C0H8G0YI15MN,Julian_1,60793911,6,,69,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,1,1,1,1,1,,6,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,1,0,0,6.11,6,police,1,improvement,1,white,9,1,1,1,1,1,1,1,6,6,,-4.357843137,-4.153267974,0,0,0
451,R_3lRo7epKL4IKolR,1/8/16 10:17,1/8/16 10:20,A2CW8CQCOPMCYA,Julian_1,37998961,6,,33,2,4,9,,,,,,,,,,,,,,,,,,,1,1,7,9,6,7,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,0,1.13,1,dad,1,improvement,3,syrian,1,7,9,6,7,7.333333333,2,0,6,6,,1.642156863,2.180065359,0,0,1
452,R_4SoRhnjtJsBbEit,1/8/16 10:14,1/8/16 10:20,A202HVNHL7ZOQW,Julian_1,74416498,6,,35,1,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,6,6,5,6,1,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,1,0,0,2.11,2,terr,1,improvement,1,white,5,6,6,5,6,5.666666667,1,1,9,6,,0.642156863,0.513398693,0,0,0
453,R_3JqNPWJmZAkjW0A,1/8/16 10:18,1/8/16 10:20,A1LF68KBK7FAHC,Julian_1,61413506,6,,31,1,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,5,4,5,2,2,,6,,I have read the instructions. ,0,5,2,1,0,0,6.13,6,police,1,improvement,3,syrian,6,5,4,5,2,3.666666667,2,0,6,6,,-0.357843137,-1.486601307,0,0,1
454,R_TjulDhubyrd48EN,1/8/16 10:18,1/8/16 10:20,A1XAO9AO5K5K0J,Julian_1,33047179,6,,28,1,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2,2,2,1,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,0,4.12,4,alcohol,1,improvement,2,immigrant,7,2,2,2,1,1.666666667,1,1,4,6,,-3.357843137,-3.486601307,0,1,0
455,R_3EKAyxm95naEgKa,1/8/16 10:18,1/8/16 10:21,A2VGEE0ZIZ8CBQ,Julian_1,82505696,6,,49,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,4,5,2,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,0,6.22,6,police,2,deterioration,2,immigrant,5,4,4,5,2,3.666666667,2,0,5,6,,-1.357843137,-1.486601307,1,1,0
456,R_2Y4bWm4UB0pLEso,1/8/16 10:19,1/8/16 10:21,A2416IYI3FQMAG,Julian_1,16459706,6,,24,2,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,8,9,9,5,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,0,5.13,5,minorities,1,improvement,3,syrian,1,8,9,9,5,7.666666667,1,1,7,6,,2.642156863,2.513398693,0,0,1
457,R_1MVUpEXfJxXFhP0,1/8/16 10:20,1/8/16 10:21,A1DDV790T5PY16,Julian_1,77082615,6,,33,1,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9,9,9,9,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,0,0,2.21,2,terr,2,deterioration,1,white,1,9,9,9,9,9,2,0,1,6,,3.642156863,3.846732026,1,0,0
458,R_2t6c9RCPKQQqWFG,1/8/16 10:18,1/8/16 10:21,A17N8TYGP23L74,Julian_1,33283852,6,,29,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,6,5,5,4,3,There is not enough information to determine what caused the change.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,0,1.23,1,dad,2,deterioration,3,syrian,3,6,5,5,4,4.666666667,3,0,5,6,,0.642156863,-0.486601307,1,0,1
459,R_3mjKsbYDYxfSry3,1/8/16 10:19,1/8/16 10:21,A2RVEG53L48BAE,Julian_1,56147914,6,,36,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9,9,9,4,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,0,5.22,5,minorities,2,deterioration,2,immigrant,1,9,9,9,4,7.333333333,2,0,2,6,,3.642156863,2.180065359,1,1,0
460,R_87CLQm5eAGJmBk5,1/8/16 10:20,1/8/16 10:21,A3U87R7R3QI4VX,Julian_1,70568146,6,,37,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9,9,9,5,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,0,4.23,4,alcohol,2,deterioration,3,syrian,1,9,9,9,5,7.666666667,3,0,3,6,,3.642156863,2.513398693,1,0,1
461,R_r8EKhZlLZb4L7NL,1/8/16 10:17,1/8/16 10:22,A1XAJGEHOAU4FM,Julian_1,86799394,6,,25,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,5,2,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,0,0,3.21,3,biz,2,deterioration,1,white,1,5,5,5,5,5,2,0,7,6,,-0.357843137,-0.153267974,1,0,0
462,R_2TNX30ZZUW0ltys,1/8/16 10:18,1/8/16 10:22,A1ZPYSX30BDIVW,Julian_1,87503798,6,,28,2,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,7,7,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,0,5.23,5,minorities,2,deterioration,3,syrian,1,5,7,7,3,5.666666667,2,0,1,6,,-0.357843137,0.513398693,1,0,1
463,R_xyl5a0kJNhhlrEJ,1/8/16 10:19,1/8/16 10:22,A3OWLS1J2LMNH4,Julian_1,84199013,6,,52,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,5,5,5,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,0,3.13,3,biz,1,improvement,3,syrian,7,5,5,5,1,3.666666667,1,1,2,6,,-0.357843137,-1.486601307,0,0,1
464,R_2RUoC41fFc9fFtV,1/8/16 10:20,1/8/16 10:22,AW1SWNQFPIUKF,Julian_1,54553460,6,,42,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,8,8,8,8,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,0,0,6.21,6,police,2,deterioration,1,white,1,8,8,8,8,8,2,0,6,6,,2.642156863,2.846732026,1,0,0
