ss,id,MID,Age,Gender,Edu,SES,Comp2,check_excl,1.11,ALWTS-T_3,Al-W-TS-1,Al-W-TS-2,DONATION-T_3,DONATION,1.12,DONATION-T_3,DONATION,ALWD-T_3,AL-W-TS1,AL-W-TS2,1.21,ALITS-T_3,AL-I-TS1,AL-I-TS2,DONATION-T_3,DONATION,1.22,DONATION-T_3,DONATION,ALID-T_3,AL-I-TS1,AL-I-TS2,2.11,DANWTS-T_3,DAN-W-TS-1,DAN-W-TS-2,DONATION-T_3,DONATION,2.12,DONATION-T_3,DONATION,DANWD-T_3,DAN-W-TS1,DAN-W-TS2,2.21,DANYITS-T_3,DAN-I-TS1,DAN-I-TS2,DONATION-T_3,DONATION,2.22,DONATION-T_3,DONATION,DANYID-T_3,DAN-I-TS1,DAN-I-TS2,3.11,HARRWTS-T_3,HAR-W-TS1,HAR-W-TS2,DONATION-T_3,DONATION,3.12,DONATION-T_3,DONATION,HARWD-T_3,HAR-W-TS1,HAR-W-TS2,3.21,HARITS-T_3,HAR-I-TS1,HAR-I-TS2,DONATION-T_3,DONATION,3.22,DONATION-T_3,DONATION,HARID-T_3,HAR-I-TS1,HAR-I-TS2,4.11,JEFWTS-T_3,JEF-W-TS1,JEF-W-TS2,DONATION-T_3,DONATION,4.12,DONATION-T_3,DONATION,JEFWD-T_3,JEF-W-TS1,JEF-2-TS2,4.21,JAFITS-T_3,JAF-I-TS1,JAF-I-TS2,DONATION-T_3,DONATION,4.22,DONATION-T_3,DONATION,JAFID-T_3,JAF-I-TS1,JAF-I-TS2,5.11,CHADWTS-T_3,CHA-W-TS1,CHA-W-TS2,DONATION-T_3,DONATION,5.12,DONATION-T_3,DONATION,CHADWD-T_3,CHAD-W-TS1,CHAD-W-TS2,5.21,CHAHITS-T_3,CHA-I-TS1,CHA-I-TS2,DONATION-T_3,DONATION,5.22,DONATION_3,DONATION,CHAHID-T_3,CHAH-I-TS1,CHAH-I-TS2,6.11,ADAMWTS-T_3,ADA-W-TS1,ADA-W-TS2,DONATION-T_3,DONATION,6.12,DONATION-T_3,DONATION,ADAMWD-T_3,ADAM-W-TS1,ADAM-W-TS2,6.21,ADNAITS-T_3,ADN-I-TS-1,ADN-I-TS-2,DONATION-T_3,DONATION,6.22,DONATION-T_3,DONATION,ADNAID-T_3,ADNA-I-TS1,ADNA-I-TS2,vignette.eth.order,vignette,vignette_name,eth,eth_name,order,order_name,ts_time,ts_forced,ts_scale,donation_time,donation,ethn_ss,comp_eth,comp_eth_recode,comp_char,Comp2,check_excl,exclude
152,R_4HMGsBogJvMjKMN,A28K4PPRKCUOJ0,27,1,5,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.445,16,38.756,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12,5,minorities,1,white,2,Donation_first,38.756,1,9,13.445,16,6,6,1,2,,1,1
153,R_2PvQQbuTDyVOrlM,AN12889DV9P3A,45,2,5,7,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,100.388,1,9,77.793,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,2,terr,1,white,1,TS_first,100.388,1,9,77.793,12,6,5,2,2,I have read the instructions,0,1
154,R_ZETFNLmUGnGS1nH,A232CM8D916P20,33,1,5,8,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.878,12,27.766,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,2,terr,2,immigrant,2,Donation_first,27.766,2,2,15.878,12,6,5,2,2,I have read the instructions,0,0
155,R_QoKgVmVm0p1VyQ9,AZH2APY92X7AW,39,1,4,6,I have read the instructions ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.762,16,45.544,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12,4,alcohol,1,white,2,Donation_first,45.544,1,7,30.762,16,2,6,1,2,I have read the instructions ,0,1
156,R_1Kq10yoJ3XLNbeR,A312C48ER6A8Q3,45,1,3,7,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.608,2,3,26.392,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21,5,minorities,2,immigrant,1,TS_first,48.608,2,3,26.392,16,6,5,2,2,I have read the instructions,0,0
157,R_2z6njNPDnPNxSMN,ALSMSDQNVZ6IZ,24,1,4,8,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.444,3,7,10.705,16,,,,,,,6.21,6,police,2,immigrant,1,TS_first,49.444,3,7,10.705,16,7,5,2,2,I have read the instructions,0,1
158,R_3J7Ngz35X3ULi7a,ABD2DC7LYKQG1,34,1,4,8,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.759,16,32.714,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,3,biz,1,white,2,Donation_first,32.714,1,7,32.759,16,6,6,1,1,I have read the instructions,0,1
159,R_3O2oD75zCsDitnH,AU4IZFLP6VZ5H,35,1,2,7,"""I have read the instructions",0,,,,,,,,,,,,,,,,,,,,13.006,16,83.996,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,1,dad,2,immigrant,2,Donation_first,83.996,3,5,13.006,16,7,5,2,2,"""I have read the instructions",0,1
160,R_3nfoUp6FLGmcZ3t,A1BWOGY0TGIZRK,32,2,6,6,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.147,12,39.626,1,9,6.22,6,police,2,immigrant,2,Donation_first,39.626,1,9,24.147,12,6,5,2,2,I have read the instructions,0,0
161,R_1mr2EJcRN8XfZ8V,A1AKTFYEZ493UQ,66,2,6,5,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.307,12,127.276,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12,4,alcohol,1,white,2,Donation_first,127.276,3,1,32.307,12,6,5,2,2,I have read the instructions,0,1
162,R_1FwTwMnic2Xoda8,A16LFHWJTXUI0Q,22,2,5,7,,1,,,,,,,,,,,,,,32.941,1,7,14.468,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,1,dad,2,immigrant,1,TS_first,32.941,1,7,14.468,16,6,5,2,2,,1,1
163,R_pir1r6h2dmjg4W5,A2HNL20X0Q9BP0,28,1,4,7,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.028,9,31.346,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,2,terr,2,immigrant,2,Donation_first,31.346,1,8,19.028,9,6,6,1,2,I have read the instructions,0,1
164,R_PAJJLCBYc7PTPEZ,A3D9L16WP7DA5H,42,2,5,5,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.386,12,43.714,2,4,,,,,,,,,,,,,,,,,,,,,,,,,5.22,5,minorities,2,immigrant,2,Donation_first,43.714,2,4,16.386,12,6,5,2,2,I have read the instructions,0,0
165,R_1nTLjdWqjz9XwqW,A1VW8Y7XCV3DRW,36,2,4,9,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.158,2,5,14.725,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,3,biz,2,immigrant,1,TS_first,50.158,2,5,14.725,12,6,6,1,2,I have read the instructions,0,1
166,R_3lstckpeeEN3PKh,A2BQ18I1NP3PA6,36,2,4,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.233,1,5,21.816,16,,,,,,,,,,,,,,,,,,,6.11,6,police,1,white,1,TS_first,70.233,1,5,21.816,16,6,6,1,2,,1,1
167,R_3GvtsNkiiNpakUO,A3U74S280Z4B0,57,1,2,6,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,36.993,1,9,17.556,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,2,terr,1,white,1,TS_first,36.993,1,9,17.556,16,6,6,1,2,I have read the instructions,0,0
168,R_1hKEDI28CHg92nE,AMIX5O7BDFVAO,44,1,8,3,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.558,2,4,18.428,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21,4,alcohol,2,immigrant,1,TS_first,37.558,2,4,18.428,16,6,6,1,2,I have read the instructions,0,1
169,R_RxJXwhnguIxRUNH,AWH0QCGB8IPX9,30,1,5,5,I have read the instructions,0,,31.959,2,6,19.575,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,1,dad,1,white,1,TS_first,31.959,2,6,19.575,12,6,6,1,2,I have read the instructions,0,0
170,R_2EzbrPQxa35eHyx,A3GRV5A91OW2BV,31,2,4,8,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.159,12,36.79,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,3,biz,2,immigrant,2,Donation_first,36.79,2,7,29.159,12,6,5,2,2,I have read the instructions,0,0
171,R_1Cexe4K4n0xpNYs,A15N1VQRMTX0IM,37,1,4,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.084,2,9,19.457,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11,5,minorities,1,white,1,TS_first,65.084,2,9,19.457,16,6,6,1,2,,1,1
172,R_1dihdlVinQIb2ZA,ASZSCXEY1T6FN,30,2,4,8,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.932,12,30.803,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12,5,minorities,1,white,2,Donation_first,30.803,1,9,8.932,12,6,6,1,2,I have read the instructions,0,0
173,R_8JlWs4vGStFcEQ9,A1W1MK77ISFFLE,19,2,4,7,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.398,1,7,20.338,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,3,biz,1,white,1,TS_first,55.398,1,7,20.338,23,6,6,1,2,I have read the instructions,0,0
174,R_2xF9DdzBVBK6dCw,A1SRVU0V65XJAK,38,2,5,8,I have read the instructions,0,,,,,,,,14.287,12,24.205,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,1,dad,1,white,2,Donation_first,24.205,2,5,14.287,12,6,6,1,2,I have read the instructions,0,0
175,R_3HXDvB3nAUHIBrU,A10EME2GN75W5Y,31,2,5,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.166,12,28.646,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,2,terr,1,white,2,Donation_first,28.646,1,8,14.166,12,6,6,1,2,,1,1
176,R_1l5irZNrtrwF8W3,A4488FT035TII,41,2,6,4,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.229,1,7,20.707,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,2,terr,2,immigrant,1,TS_first,34.229,1,7,20.707,16,6,5,2,2,I have read the instructions,0,0
177,R_2SIWlo2m4CFyRbX,ATST9OW8JK9PN,56,1,5,3,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.774,1,7,27.818,16,,,,,,,6.21,6,police,2,immigrant,1,TS_first,53.774,1,7,27.818,16,6,5,2,2,I have read the instructions,0,0
178,R_SBl12hikQjd2NxL,A2VIGAN3D5DH99,26,1,3,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.254,14,28.265,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.22,4,alcohol,2,immigrant,2,Donation_first,28.265,1,6,17.254,14,6,5,2,2,,1,1
179,R_a3EuLqagYvUNKHn,AMY1COJ522JFP,21,2,5,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.04,2,3,13.264,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4,alcohol,1,white,1,TS_first,36.04,2,3,13.264,16,3,6,1,2,,1,1
180,R_2U6soAlL4IDMwZy,A2P932YGQLTHNT,60,1,5,5,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.041,16,31.281,1,7,,,,,,,,,,,,,6.12,6,police,1,white,2,Donation_first,31.281,1,7,14.041,16,6,6,1,2,I have read the instructions,0,0
181,R_1NrhEElMkeCC1qj,A12UON7BZ8LG56,27,2,5,7,I have read the instructions.,0,,,,,,,,,,,,,,,,,,,,20.067,15,34.498,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,1,dad,2,immigrant,2,Donation_first,34.498,1,8,20.067,15,3,5,2,2,I have read the instructions.,0,1
182,R_2b2iDcE3XA4dLqa,AAPBZ5T7COQBU,45,1,5,,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.055,1,7,25.894,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21,5,minorities,2,immigrant,1,TS_first,51.055,1,7,25.894,12,6,5,2,2,I have read the instructions,0,0
183,R_3CCNY8Iuy7dZchL,AAN1R31JOI3PX,37,1,5,7,I have read the instructions,0,,85.814,2,5,15.841,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,1,dad,1,white,1,TS_first,85.814,2,5,15.841,23,6,6,1,2,I have read the instructions,0,0
184,R_1Gxj2Fg9ZTx4Ys1,A5Z06L2TSE8IX,33,2,6,4,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.076,1,7,12.879,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,3,biz,2,immigrant,1,TS_first,32.076,1,7,12.879,16,3,5,2,2,I have read the instructions,0,1
185,R_Qan3VHkjrF0MbDj,A3KWUZZAFEFVSD,40,2,6,4,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.393,16,141.923,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,3,biz,1,white,2,Donation_first,141.923,2,6,15.393,16,6,7,0,2,I have read the instructions,0,1
186,R_2ccNtmRVPAqkBIO,A8XB5NUT9J39D,33,1,4,10,I have read the instructions.,0,,,,,,,,16.889,21,73.329,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,1,dad,1,white,2,Donation_first,73.329,1,6,16.889,21,6,6,1,2,I have read the instructions.,0,0
187,R_1cUtW66PdK9RIld,A1EQTIWLC79HAZ,33,1,4,4,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.262,12,82.53,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,3,biz,2,immigrant,2,Donation_first,82.53,2,9,33.262,12,6,5,2,2,I have read the instructions,0,0
188,R_p5FfQKwaCM8Dd5v,ANB17HWTO4XUN,35,2,5,6,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.964,16,46.979,1,8,,,,,,,,,,,,,6.12,6,police,1,white,2,Donation_first,46.979,1,8,25.964,16,6,6,1,2,I have read the instructions,0,0
189,R_ROnalq84ZBr7y6Z,A3VTBPEINKBXKG,23,1,5,5,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.249,12,54.542,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12,5,minorities,1,white,2,Donation_first,54.542,1,9,22.249,12,1,6,1,2,I have read the instructions,0,1
190,R_1DIiUN73KlTI711,AD461N19QL50O,47,1,5,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.428,12,72.796,1,7,,,,,,,,,,,,,,,,,,,,,,,,,5.22,5,minorities,2,immigrant,2,Donation_first,72.796,1,7,28.428,12,6,5,2,2,,1,1
191,R_3isspGyGUIS0ZnY,A23FORY3OU7Y7B,26,2,5,6,I have read the instructions,0,,,,,,,,,,,,,,26.373,1,8,21.33,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,1,dad,2,immigrant,1,TS_first,26.373,1,8,21.33,16,6,5,2,2,I have read the instructions,0,0
192,R_UAu9eGTy69m1QMF,A33OWX66T2FF4D,33,2,6,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.221,1,8,41.366,16,,,,,,,,,,,,,,,,,,,6.11,6,police,1,white,1,TS_first,46.221,1,8,41.366,16,6,6,1,2,,1,1
193,R_u2gDkn2Lazji8Vz,A20ZKSQSI3GC36,56,2,4,8,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.718,12,82.246,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,2,terr,1,white,2,Donation_first,82.246,3,5,14.718,12,6,7,0,2,I have read the instructions,0,1
194,R_DV7iz3DaX9vH4gF,"A3OKWRLKLYVH4F,A3OKWRLKLYVH4",28,1,5,8,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.013,1,4,13.153,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21,4,alcohol,2,immigrant,1,TS_first,45.013,1,4,13.153,12,6,6,1,2,I have read the instructions,0,1
195,R_1OpM24vyPCAfonG,A2BA25TH12RWFU,43,2,5,6,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,31.66,1,7,15.524,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,2,terr,1,white,1,TS_first,31.66,1,7,15.524,16,6,6,1,2,I have read the instructions,0,0
196,R_2Vg4bksNSH36ypG,A1IC7AF26YRREC,25,1,5,5,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.991,1,7,12.56,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,3,biz,1,white,1,TS_first,20.991,1,7,12.56,23,2,2,0,2,I have read the instructions,0,1
197,R_2ygedXBqavxORML,A1AYMXZRDWWOER,52,2,2,8,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.622,12,58.341,1,9,6.22,6,police,2,immigrant,2,Donation_first,58.341,1,9,31.622,12,6,5,2,2,I have read the instructions,0,0
198,R_yEkLZNN90dzL9U5,A3KYFEDDBCFQU1,45,2,5,5,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.383,12,20.416,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12,4,alcohol,1,white,2,Donation_first,20.416,1,9,10.383,12,6,6,1,2,I have read the instructions,0,0
199,R_2PvTFX24QawvHXK,A3PJS2AUT1T5ZJ,51,2,4,6,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.177,2,7,38.386,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,2,terr,2,immigrant,1,TS_first,86.177,2,7,38.386,23,6,5,2,2,I have read the instructions,0,0
200,R_3exZJqiSh9PAF3A,AC7Y52C89ZJZW,58,1,5,4,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.608,16,47.82,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,2,terr,2,immigrant,2,Donation_first,47.82,2,3,29.608,16,6,5,2,2,I have read the instructions,0,0
